id,location,bathrooms,bedrooms,parking,size,agent,price
979,Higgovale,2.5,3.0,2.0,472,"Kapstadt International Properties cc, Gardens",9 900 000
980,Newlands,1.5,3.0,1.0,108,Pam Sorel Properties,3 800 000
981,Welcome,2.0,3.0,2.0,,,1 695 000
982,Grassy Park,1.0,3.0,,260,Rawson Properties Constantia,1 250 000
983,Newlands,1.5,3.0,1.0,108,Pam Sorel Properties,3 800 000
984,Kenilworth Upper,3.0,4.0,3.0,468,Keller Williams Eden,5 400 000
985,Barbarosa Estate,2.0,4.0,2.0,2375,Realty Professionals,7 595 000
986,Claremont,2.0,3.0,1.0,318,Keller Williams Explore Properties,3 250 000
987,Southfield,2.0,4.0,9.0,648,Sotheby's International Realty - Claremont,2 695 000
988,Pinelands,2.0,3.0,2.0,488,Pam Golding Properties - Southern Suburbs,3 195 000
989,Constantia,2.5,3.0,5.0,996,Jawitz Constantia,4 295 000
990,Muizenberg,1.0,1.0,1.0,,Evolution Properties,859 000
991,Observatory,2.0,3.0,3.0,246,"RE/MAX, Property Associates - Table View",4 200 000
992,Llandudno,5.0,5.0,3.0,991,Signature Real Estate,17 995 000
993,Pinelands,2.0,3.0,14.0,1027,RE/MAX Elite,3 500 000
994,Gardens,1.5,3.0,,112,"Kapstadt International Properties cc, Gardens",4 750 000
995,Gleemoor,1.0,3.0,2.0,418,Erf Size,2 199 000
996,Tamboerskloof,2.0,3.0,,316,Pam Golding Properties - City Bowl,6 950 000
997,Plumstead,1.0,2.0,2.0,244,Jawitz Constantia,1 595 000
998,Pinelands,2.0,3.0,3.0,817,Greeff Christie's International Real Estate - Southern Suburbs,3 795 000
999,Observatory,1.0,3.0,1.0,273,Pam Golding Properties - Southern Suburbs,2 749 000
1000,Claremont,2.0,2.0,,146,Keller Williams Explore Properties,2 200 000
1001,Claremont Upper,6.0,5.0,12.0,1501,Seeff Southern Suburbs,17 500 000
1002,Woodstock,3.0,3.0,,108,"RE/MAX, Premier - Claremont",2 850 000
1003,Bergvliet,2.0,4.0,2.0,969,Realty Professionals,3 150 000
1004,Rondebosch,3.0,5.0,5.0,743,Sotheby's International Realty - Claremont,6 995 000
1005,Claremont,3.0,3.0,3.0,496,Rawson Properties Claremont,4 995 000
1006,Surrey Estate,3.0,4.0,6.0,,"RE/MAX, Property Associates - Pinelands",1 995 000
1007,Woodstock,3.0,3.0,,108,"RE/MAX, Premier - Claremont",2 850 000
1008,Newlands,3.5,3.0,4.0,438,Tyson Properties Southern Suburbs,6 560 000
1009,Pelican Park,2.0,4.0,2.0,267,Realty Professionals,1 395 000
1010,Bishopscourt,3.0,5.0,7.0,4035,Pam Golding Properties - Southern Suburbs,24 950 000
